 Total battles: 443979
 Total teams: 887958
 Total pokemon: 5327748
 + ---- + ------------------ + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage  | Percent | RealUse| RealPct | 
 | 226  | Linoone            | 1442   |  0.162% | 1080   |  0.151% | 
 | 227  | Torkoal            | 1418   |  0.160% | 1200   |  0.167% | 
 | 228  | Regirock           | 1394   |  0.157% | 1073   |  0.150% | 
 | 229  | Druddigon          | 1277   |  0.144% | 1084   |  0.151% | 
 | 230  | Regigigas          | 1276   |  0.144% | 997    |  0.139% | 
 | 231  | Crustle            | 1274   |  0.143% | 1052   |  0.147% | 
 | 232  | Bastiodon          | 1266   |  0.143% | 1064   |  0.148% | 
 | 233  | Pinsir             | 1263   |  0.142% | 1031   |  0.144% | 
 | 234  | Armaldo            | 1246   |  0.140% | 977    |  0.136% | 
 | 235  | Primeape           | 1218   |  0.137% | 1054   |  0.147% | 
 | 236  | Articuno           | 1207   |  0.136% | 972    |  0.136% | 
 | 237  | Rotom-Frost        | 1195   |  0.135% | 927    |  0.129% | 
 | 238  | Bouffalant         | 1118   |  0.126% | 864    |  0.121% | 
 | 239  | Wailord            | 1109   |  0.125% | 883    |  0.123% | 
 | 240  | Huntail            | 1090   |  0.123% | 892    |  0.124% | 
 | 241  | Octillery          | 1088   |  0.123% | 561    |  0.078% | 
 | 242  | Tropius            | 1082   |  0.122% | 845    |  0.118% | 
 | 243  | Emolga             | 1077   |  0.121% | 831    |  0.116% | 
 | 244  | Tauros             | 1066   |  0.120% | 859    |  0.120% | 
 | 245  | Klinklang          | 1019   |  0.115% | 788    |  0.110% | 
 | 246  | Lickilicky         | 1017   |  0.115% | 818    |  0.114% | 
 | 247  | Meganium           | 994    |  0.112% | 794    |  0.111% | 
 | 248  | Swoobat            | 970    |  0.109% | 738    |  0.103% | 
 | 249  | Cryogonal          | 958    |  0.108% | 745    |  0.104% | 
 | 250  | Lopunny            | 947    |  0.107% | 818    |  0.114% | 
 | 251  | Entei              | 945    |  0.106% | 765    |  0.107% | 
 | 252  | Sawk               | 930    |  0.105% | 785    |  0.110% | 
 | 253  | Rotom              | 929    |  0.105% | 773    |  0.108% | 
 | 254  | Cacturne           | 917    |  0.103% | 737    |  0.103% | 
 | 255  | Vileplume          | 899    |  0.101% | 714    |  0.100% | 
 | 256  | Qwilfish           | 882    |  0.099% | 726    |  0.101% | 
 | 257  | Golduck            | 868    |  0.098% | 675    |  0.094% | 
