 Total battles: 443596
 Total teams: 887192
 Total pokemon: 887192
 + ---- + ------------------ + ------ + ------- + 
 | Rank | Pokemon            | Usage  | Percent | 
 | 247  | Rotom-Frost        | 142    |  0.016% |
 | 248  | Armaldo            | 141    |  0.016% |
 | 249  | Tauros             | 138    |  0.016% |
 | 250  | Emolga             | 135    |  0.015% |
 | 251  | Klinklang          | 135    |  0.015% |
 | 252  | Hypno              | 133    |  0.015% |
 | 253  | Walrein            | 130    |  0.015% |
 | 254  | Lickilicky         | 127    |  0.014% |
 | 255  | Swoobat            | 124    |  0.014% |
 | 256  | Articuno           | 124    |  0.014% |
 | 257  | Mesprit            | 122    |  0.014% |
 | 258  | Spinda             | 112    |  0.013% |
 | 259  | Meganium           | 111    |  0.013% |
 | 260  | Escavalier         | 110    |  0.012% |
 | 261  | Cottonee           | 109    |  0.012% |
 | 262  | Dunsparce          | 107    |  0.012% |
 | 263  | Kingler            | 107    |  0.012% |
 | 264  | Crawdaunt          | 106    |  0.012% |
 | 265  | Kecleon            | 103    |  0.012% |
 | 266  | Cacturne           | 102    |  0.011% |
 | 267  | Magikarp           | 95     |  0.011% |
 | 268  | Snover             | 95     |  0.011% |
 | 269  | Combusken          | 95     |  0.011% |
 | 270  | Musharna           | 93     |  0.010% |
 | 271  | Alomomola          | 92     |  0.010% |
 | 272  | Furret             | 92     |  0.010% |
 | 273  | Golduck            | 92     |  0.010% |
 | 274  | Stunfisk           | 92     |  0.010% |
 | 275  | Victreebel         | 89     |  0.010% |
 | 276  | Basculin           | 89     |  0.010% |
 | 277  | Rotom-Fan          | 89     |  0.010% |
 | 278  | Purugly            | 87     |  0.010% |
 | 279  | Haunter            | 86     |  0.010% |
 | 280  | Magcargo           | 85     |  0.010% |
 | 281  | Solrock            | 84     |  0.009% |
 | 282  | Sudowoodo          | 84     |  0.009% |
 | 283  | Leavanny           | 83     |  0.009% |
 | 284  | Camerupt           | 82     |  0.009% |
 | 285  | Onix               | 81     |  0.009% |
 | 286  | Vileplume          | 81     |  0.009% |
 | 287  | Entei              | 79     |  0.009% |
 | 288  | Rhydon             | 78     |  0.009% |
 | 289  | Noctowl            | 78     |  0.009% |
 | 290  | Throh              | 77     |  0.009% |
 | 291  | Solosis            | 76     |  0.009% |
 | 292  | Mawile             | 75     |  0.008% |
 | 293  | Bibarel            | 75     |  0.008% |
 | 294  | Glalie             | 74     |  0.008% |
 | 295  | Kangaskhan         | 73     |  0.008% |
 | 296  | Arbok              | 73     |  0.008% |
 | 297  | Whiscash           | 72     |  0.008% |
 | 298  | Electabuzz         | 71     |  0.008% |
 | 299  | Seviper            | 71     |  0.008% |
 | 300  | Cryogonal          | 70     |  0.008% |
 | 301  | Graveler           | 69     |  0.008% |
 | 302  | Vespiquen          | 63     |  0.007% |
 | 303  | Octillery          | 63     |  0.007% |
 | 304  | Parasect           | 62     |  0.007% |
 | 305  | Tropius            | 56     |  0.006% |
 | 306  | Castform           | 53     |  0.006% |
 | 307  | Beartic            | 52     |  0.006% |
 | 308  | Raticate           | 50     |  0.006% |
 | 309  | Skuntank           | 50     |  0.006% |
 | 310  | Ferroseed          | 50     |  0.006% |
 | 311  | Togetic            | 49     |  0.006% |
 | 312  | Audino             | 49     |  0.006% |
 | 313  | Seaking            | 48     |  0.005% |
 | 314  | Pineco             | 48     |  0.005% |
 | 315  | Dodrio             | 46     |  0.005% |
 | 316  | Beheeyem           | 46     |  0.005% |
 | 317  | Metang             | 45     |  0.005% |
 | 318  | Clamperl           | 42     |  0.005% |
 | 319  | Granbull           | 42     |  0.005% |
 | 320  | Chatot             | 42     |  0.005% |
 | 321  | Masquerain         | 41     |  0.005% |
 | 322  | Heatmor            | 41     |  0.005% |
 | 323  | Simisear           | 41     |  0.005% |
 | 324  | Simisage           | 40     |  0.005% |
 | 325  | Dewgong            | 39     |  0.004% |
 | 326  | Girafarig          | 38     |  0.004% |
 | 327  | Bulbasaur          | 36     |  0.004% |
